rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Mark Stone,VGK,R,61,311,208,245,0.48168,0.41473,10.0,8475913
2,Jordan Martinook,CAR,L,77,333,320,407,0.46331,0.40943,9.9,8476921
3,Jordan Staal,CAR,C,75,317,344,406,0.45992,0.40799,9.8,8473533
4,Brock Nelson,COL,C,80,371,356,352,0.44665,0.39585,9.5,8475754
5,Cole Smith,VGK,L,63,102,265,273,0.45423,0.39536,9.5,8482062
6,Seth Jarvis,CAR,C,71,384,216,275,0.44309,0.37841,9.1,8482093
7,Sebastian Aho,CAR,C,79,432,251,307,0.43988,0.37984,9.1,8478427
8,Andrei Svechnikov,CAR,R,79,412,272,317,0.43385,0.37628,9.0,8480830
9,Jesperi Kotkaniemi,CAR,C,42,189,118,160,0.45275,0.36584,8.8,8480829
10,Valeri Nichushkin,COL,R,71,275,288,304,0.41752,0.36202,8.7,8477501
11,Jack Drury,COL,C,81,249,306,295,0.41291,0.35916,8.6,8480835
12,Tom Wilson,WSH,R,72,258,341,277,0.40288,0.35218,8.5,8476880
13,Aliaksei Protas,WSH,C,76,335,357,312,0.40199,0.35244,8.5,8481656
14,Luke Evangelista,NSH,R,80,332,308,378,0.40224,0.34901,8.4,8482146
15,Zachary Bolduc,MTL,C,78,229,258,290,0.40391,0.34587,8.3,8482737
16,Ivan Barbashev,VGK,C,82,454,288,321,0.40115,0.3462,8.3,8477964
17,Kyle Connor,WPG,L,81,502,260,330,0.4024,0.34463,8.3,8478398
18,Clayton Keller,UTA,R,81,476,258,392,0.40553,0.34742,8.3,8479343
19,Kirby Dach,MTL,C,37,112,118,162,0.42586,0.34037,8.2,8481523
20,Reilly Smith,VGK,R,69,215,210,275,0.40817,0.34393,8.2,8475191
21,Arseny Gritsyuk,NJD,R,66,247,229,272,0.40246,0.34106,8.2,8481721
22,Ozzy Wiesblatt,NSH,C,39,57,151,127,0.41858,0.34287,8.2,8482103
23,Phillip Danault,MTL,C,75,236,343,293,0.38764,0.33759,8.1,8476479
24,Dylan Strome,WSH,C,80,445,215,287,0.40065,0.33745,8.1,8478440
25,Matt Coronato,CGY,R,79,375,301,324,0.39334,0.33983,8.1,8482679
26,Maxim Tsyplakov,NJD,R,49,110,93,131,0.43562,0.33939,8.1,8484958
27,Nikolaj Ehlers,CAR,L,82,388,266,343,0.39571,0.33883,8.1,8477940
28,Ross Colton,COL,C,72,252,290,278,0.38652,0.3323,8.0,8479525
29,Jack Eichel,VGK,C,75,444,275,282,0.39001,0.33425,8.0,8478403
30,Tomas Hertl,VGK,C,83,414,272,292,0.38972,0.33368,8.0,8476881
31,Brandon Hagel,TBL,L,71,320,266,236,0.38944,0.33281,8.0,8479542
32,Jack Roslovic,EDM,C,68,321,230,282,0.39445,0.33351,8.0,8478458
33,Kevin Hayes,PIT,C,28,87,85,95,0.43461,0.33432,8.0,8475763
34,Nate Danielson,DET,C,28,66,73,94,0.44252,0.3343,8.0,8484160
35,Alexis Lafrenière,NYR,L,82,378,311,375,0.38095,0.32874,7.9,8482109
36,Connor Dewar,PIT,C,78,96,417,252,0.37503,0.3299,7.9,8480980
37,Artturi Lehkonen,COL,L,69,359,256,348,0.38846,0.33082,7.9,8477476
38,Martin Necas,COL,C,78,530,323,394,0.38256,0.33123,7.9,8480039
39,Parker Kelly,COL,L,81,195,257,270,0.38606,0.32863,7.9,8480448
40,Timo Meier,NJD,R,77,337,410,396,0.3768,0.33124,7.9,8478414
41,Michael McCarron,MIN,R,79,156,386,298,0.37517,0.32832,7.9,8477446
42,Mark Scheifele,WPG,C,81,501,265,327,0.38713,0.3305,7.9,8476460
43,Blake Coleman,CGY,C,68,206,381,318,0.37359,0.3265,7.8,8476399
44,William Carrier,CAR,L,70,268,242,336,0.38682,0.32769,7.8,8477478
45,Nick Schmaltz,UTA,C,81,457,296,377,0.37908,0.32569,7.8,8477951
46,Lenni Hameenaho,NJD,R,33,103,144,115,0.40181,0.32529,7.8,8484177
47,Nathan MacKinnon,COL,C,80,612,320,417,0.37396,0.32274,7.7,8477492
48,Nic Dowd,VGK,C,75,133,349,307,0.37034,0.32134,7.7,8475343
49,Ryan McLeod,BUF,C,81,296,328,295,0.37206,0.32151,7.7,8480802
50,Anthony Cirelli,TBL,C,71,290,254,248,0.38119,0.32365,7.7,8478519
51,Kailer Yamamoto,UTA,R,58,151,170,202,0.39172,0.32151,7.7,8479977
52,Viktor Arvidsson,BOS,L,69,225,286,270,0.3731,0.31908,7.6,8478042
53,Mason McTavish,ANA,C,74,325,233,281,0.37591,0.3162,7.6,8482745
54,John Beecher,CGY,C,35,44,98,92,0.40916,0.31703,7.6,8481556
55,Noel Acciari,PIT,C,67,69,388,200,0.35813,0.31203,7.5,8478569
56,Gabriel Landeskog,COL,L,60,286,253,255,0.37201,0.31478,7.5,8476455
57,Casey Mittelstadt,BOS,C,71,242,305,264,0.36669,0.31458,7.5,8479999
58,Mikael Backlund,CGY,C,81,226,484,363,0.35647,0.31508,7.5,8474150
59,Emmitt Finnie,DET,C,82,308,340,342,0.36146,0.3122,7.5,8484471
60,Leon Draisaitl,EDM,C,65,400,250,337,0.36852,0.31113,7.4,8477934
61,Michael Amadio,OTT,C,81,195,416,411,0.35509,0.31062,7.4,8478020
62,James van Riemsdyk,DET,L,72,181,223,200,0.37121,0.31048,7.4,8474037
63,Mattias Janmark,EDM,C,43,83,137,142,0.38683,0.30942,7.4,8477406
64,Martin Pospisil,CGY,C,22,51,50,75,0.43662,0.30858,7.4,8481028
65,Brett Howden,VGK,C,59,212,200,294,0.37021,0.30633,7.3,8479353
66,Colton Sissons,VGK,C,66,130,234,243,0.36499,0.30595,7.3,8476925
67,Lucas Raymond,DET,L,80,339,385,371,0.3533,0.30721,7.3,8482078
68,Shane Pinto,OTT,C,72,170,391,340,0.35064,0.305,7.3,8481596
69,Dylan Guenther,UTA,R,79,323,309,305,0.35776,0.30636,7.3,8482699
70,Brandon Tanev,UTA,L,55,105,161,174,0.37806,0.30682,7.3,8479293
71,Kiefer Sherwood,SJS,L,71,240,274,314,0.36016,0.30561,7.3,8480748
72,Zach Benson,BUF,L,65,219,237,274,0.3645,0.30584,7.3,8484145
73,Trevor Moore,LAK,C,68,250,298,326,0.35284,0.30077,7.2,8479675
74,Jack Quinn,BUF,R,82,288,298,278,0.35264,0.30058,7.2,8482097
75,Patrick Kane,DET,R,67,307,263,275,0.35693,0.30147,7.2,8474141
76,Barrett Hayton,UTA,C,67,251,297,266,0.35472,0.30248,7.2,8480849
77,Blake Lizotte,PIT,C,55,54,305,177,0.35077,0.29937,7.1,8481481
78,Gavin Brindley,COL,C,56,130,129,148,0.37551,0.29668,7.1,8484149
79,Quinton Byfield,LAK,C,78,320,371,379,0.3447,0.29815,7.1,8482124
80,Kevin Fiala,LAK,L,56,276,221,256,0.3564,0.2962,7.1,8477942
81,Pierre-Luc Dubois,WSH,L,29,102,138,114,0.3738,0.29752,7.1,8479400
82,Dylan Larkin,DET,C,74,307,391,339,0.34161,0.29635,7.1,8477946
83,Tim Stützle,OTT,L,80,403,175,269,0.3651,0.29738,7.1,8482116
84,Pontus Holmberg,TBL,R,70,196,308,370,0.34715,0.29616,7.1,8480995
85,Ryan O'Reilly,NSH,C,80,343,397,420,0.34354,0.29853,7.1,8475158
86,Danila Yurov,MIN,R,73,267,221,279,0.35599,0.29582,7.1,8483525
87,Danton Heinen,CBJ,L,46,114,169,140,0.36845,0.2994,7.1,8478046
88,Pavol Regenda,SJS,L,23,48,89,87,0.39409,0.29898,7.1,8483630
89,Josh Doan,BUF,R,82,339,328,318,0.34186,0.29262,7.0,8482659
90,Marco Kasper,DET,C,81,221,300,280,0.34316,0.29173,7.0,8483464
91,Dylan Cozens,OTT,C,82,367,275,407,0.34635,0.29258,7.0,8481528
92,Dawson Mercer,NJD,C,82,345,382,372,0.33908,0.29342,7.0,8482110
93,Matt Boldy,MIN,L,76,313,343,331,0.34103,0.29287,7.0,8481557
94,Drake Batherson,OTT,R,79,397,187,295,0.3607,0.29532,7.0,8480208
95,Stefan Noesen,NJD,R,38,90,100,133,0.38095,0.29185,7.0,8476474
96,Tommy Novak,PIT,C,82,331,186,285,0.35501,0.28981,6.9,8478438
97,Anze Kopitar,LAK,C,66,372,265,249,0.34529,0.29062,6.9,8471685
98,Auston Matthews,TOR,C,60,338,293,290,0.34342,0.29139,6.9,8479318
99,Ivan Demidov,MTL,R,82,289,188,251,0.35392,0.28911,6.9,8484984
100,Nico Hischier,NJD,C,82,437,472,455,0.33233,0.29134,6.9,8480002
101,Cody Glass,NJD,C,70,259,292,288,0.34043,0.28846,6.9,8479996
102,Steven Stamkos,NSH,C,81,354,355,360,0.338,0.29076,6.9,8474564
103,Eetu Luostarinen,FLA,C,73,261,297,372,0.33733,0.28594,6.8,8480185
104,Artemi Panarin,LAK,L,77,488,283,320,0.33802,0.28541,6.8,8478550
105,Joel Armia,LAK,R,66,203,237,263,0.34288,0.28539,6.8,8476469
106,Nicolas Roy,COL,C,73,159,300,249,0.3347,0.28369,6.8,8478462
107,Sean Kuraly,BOS,C,82,149,309,292,0.33684,0.28643,6.8,8476374
108,Tage Thompson,BUF,R,81,413,311,377,0.3356,0.28541,6.8,8479420
109,Matvei Michkov,PHI,R,81,355,185,279,0.34986,0.28482,6.8,8484387
110,Jonathan Drouin,STL,L,64,244,222,261,0.34364,0.2843,6.8,8477494
111,Eric Robinson,CAR,L,67,276,188,265,0.35096,0.28634,6.8,8480762
112,Liam Ohgren,VAN,L,68,203,218,229,0.34631,0.28631,6.8,8483499
113,Cole Sillinger,CBJ,C,81,297,362,324,0.3336,0.287,6.8,8482705
