rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Ryan Graves,PIT,D,22,28,50,62,0.6633,0.52488,10.0,8477435
2,John Carlson,ANA,D,70,193,169,166,0.58677,0.51141,9.6,8474590
3,Rasmus Sandin,WSH,D,73,188,175,172,0.57018,0.49611,9.2,8480873
4,Martin Fehérváry,WSH,D,81,113,219,197,0.55841,0.4922,9.1,8480796
5,Ilya Lyubushkin,DAL,D,53,54,111,124,0.58182,0.48882,9.0,8480950
6,Matt Roy,WSH,D,79,202,193,216,0.55672,0.4862,8.9,8478911
7,K'Andre Miller,CAR,D,72,244,167,210,0.56077,0.48497,8.9,8480817
8,Sean Durzi,UTA,D,60,196,138,154,0.56887,0.48548,8.9,8480434
9,Spencer Stastney,EDM,D,66,114,127,134,0.56379,0.47692,8.7,8481056
10,Brian Dumoulin,LAK,D,81,166,167,195,0.55042,0.47468,8.6,8475208
11,Lane Hutson,MTL,D,82,230,163,203,0.54958,0.47293,8.5,8483457
12,Arber Xhekaj,MTL,D,65,93,66,108,0.59286,0.47241,8.5,8482964
13,Nils Lundkvist,DAL,D,52,94,125,147,0.5593,0.47178,8.5,8480878
14,Alexandre Carrier,MTL,D,73,129,152,197,0.54534,0.46604,8.4,8478851
15,Noah Dobson,MTL,D,80,227,226,229,0.53444,0.46938,8.4,8480865
16,Sean Walker,CAR,D,81,256,191,233,0.53245,0.46175,8.2,8480336
17,Ryan Pulock,NYI,D,76,163,185,219,0.53004,0.45824,8.1,8477506
18,MacKenzie Weegar,UTA,D,78,270,226,270,0.51422,0.44937,7.9,8477346
19,Damon Severson,CBJ,D,71,224,203,195,0.51768,0.44925,7.9,8476923
20,Thomas Harley,DAL,D,70,171,177,192,0.51494,0.44178,7.7,8481581
21,Noah Hanifin,VGK,D,72,239,166,196,0.51639,0.44086,7.6,8478396
22,John Klingberg,SJS,D,55,161,150,153,0.52023,0.44078,7.6,8475906
23,Mikhail Sergachev,UTA,D,77,255,224,234,0.49664,0.43178,7.4,8479410
24,Matthew Robertson,NYR,D,72,118,133,140,0.51673,0.43253,7.4,8481525
25,Simon Edvinsson,DET,D,72,180,216,201,0.49358,0.4276,7.3,8482762
26,Adam Wilsby,NSH,D,57,111,144,149,0.50844,0.42763,7.3,8482482
27,Jakob Chychrun,WSH,D,80,256,166,229,0.50136,0.42613,7.2,8479345
28,Moritz Seider,DET,D,82,201,262,247,0.48047,0.42069,7.1,8481542
29,Jake Sanderson,OTT,D,67,169,171,195,0.49353,0.41956,7.1,8482105
30,Jayden Struble,MTL,D,59,94,77,94,0.53222,0.42191,7.1,8481593
31,Mario Ferraro,SJS,D,82,165,239,212,0.4802,0.41768,7.0,8479983
32,Brett Kulak,COL,D,82,176,160,181,0.48953,0.41323,6.9,8476967
33,Travis Sanheim,PHI,D,81,182,217,264,0.4776,0.41211,6.8,8477948
34,Esa Lindell,DAL,D,82,172,192,220,0.48017,0.41058,6.8,8476902
35,Yan Kuznetsov,CGY,D,57,164,142,188,0.49058,0.4097,6.8,8482165
36,Erik Karlsson,PIT,D,75,253,196,217,0.47419,0.40545,6.7,8474578
37,Parker Wotherspoon,PIT,D,80,217,203,238,0.47308,0.40554,6.7,8478450
38,Mike Matheson,MTL,D,78,177,262,229,0.46496,0.40551,6.7,8476875
39,John Marino,UTA,D,79,187,196,243,0.47491,0.40615,6.7,8478507
40,Timothy Liljegren,WSH,D,48,107,141,127,0.48724,0.40618,6.7,8480043
41,Joel Hanley,CGY,D,68,152,88,122,0.50606,0.40355,6.6,8477810
42,Artem Zub,OTT,D,81,136,213,226,0.46846,0.4026,6.6,8482245
43,Matthew Schaefer,NYI,D,82,190,174,213,0.47703,0.40412,6.6,8485366
44,Colton Parayko,STL,D,76,201,265,223,0.46184,0.40279,6.6,8476892
45,Michael Kesselring,BUF,D,34,65,60,66,0.52651,0.40242,6.6,8480891
46,Thomas Chabot,OTT,D,57,131,106,134,0.49436,0.40106,6.5,8478469
47,Brock Faber,MIN,D,80,275,298,296,0.4551,0.39949,6.5,8482122
48,Jared Spurgeon,MIN,D,79,208,219,204,0.46604,0.40112,6.5,8474716
49,Ivan Provorov,CBJ,D,82,240,278,244,0.45613,0.39858,6.5,8478500
