rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Matt Boldy,MIN,L,76,159,179,175,0.05839,-0.06579,10.0,8481557
2,Jack Hughes,NJD,C,61,185,78,127,0.07449,-0.07066,9.9,8481559
3,Jordan Staal,CAR,C,75,145,142,183,0.0457,-0.06923,9.9,8473533
4,Cutter Gauthier,ANA,L,75,187,131,161,0.04816,-0.07684,9.7,8483445
5,Kirill Kaprizov,MIN,L,78,285,186,227,0.03033,-0.07914,9.6,8478864
6,Joel Eriksson Ek,MIN,C,70,138,172,169,0.04608,-0.07877,9.6,8478493
7,Jordan Martinook,CAR,L,77,156,135,188,0.0303,-0.08501,9.4,8476921
8,Jesper Bratt,NJD,L,82,224,131,183,0.02194,-0.09303,9.2,8479407
9,Alex Laferriere,LAK,R,81,183,180,194,0.02108,-0.09508,9.1,8482155
10,Hendrix Lapierre,WSH,C,74,71,69,93,0.06715,-0.09682,9.1,8482148
11,Kasperi Kapanen,EDM,R,40,60,67,76,0.09367,-0.09568,9.1,8477953
12,Adrian Kempe,LAK,C,80,211,135,174,0.0212,-0.09856,9.0,8477960
13,Quinton Byfield,LAK,C,78,180,190,194,0.01222,-0.10127,9.0,8482124
14,Anze Kopitar,LAK,C,66,159,113,122,0.04061,-0.10173,8.9,8471685
15,Ryan Reaves,SJS,R,50,39,57,76,0.08426,-0.10533,8.8,8471817
16,Barclay Goodrow,SJS,C,82,70,133,133,0.03584,-0.10556,8.8,8476624
17,Mats Zuccarello,MIN,R,59,192,116,152,0.02496,-0.10709,8.8,8475692
18,Justin Sourdif,WSH,R,78,114,166,162,0.01761,-0.10965,8.7,8482088
19,Jack Eichel,VGK,C,75,239,141,145,0.0238,-0.11071,8.7,8478403
20,Zemgus Girgensons,TBL,L,74,116,177,192,0.00667,-0.10914,8.7,8476878
21,Tyler Bertuzzi,CHI,L,79,177,170,180,0.00789,-0.11223,8.6,8477479
22,Yanni Gourde,TBL,C,82,143,200,205,0.00253,-0.11182,8.6,8476826
23,Andrei Kuzmenko,LAK,L,52,98,68,88,0.05911,-0.11618,8.5,8483808
24,Brandon Duhaime,WSH,R,82,57,176,165,0.00646,-0.11738,8.5,8479520
25,Anthony Beauvillier,WSH,L,82,140,129,149,0.01847,-0.11749,8.5,8478463
26,Connor Brown,NJD,R,75,154,112,162,0.01111,-0.11521,8.5,8477015
27,Mikael Granlund,ANA,C,58,118,140,115,0.03134,-0.11584,8.5,8475798
28,Zack Ostapchuk,SJS,C,58,49,85,91,0.05873,-0.11671,8.5,8482859
29,Tommy Novak,PIT,C,82,180,97,165,0.00271,-0.12098,8.4,8478438
30,Ivan Barbashev,VGK,C,82,248,146,173,0.00077,-0.12027,8.4,8477964
31,Nikolaj Ehlers,CAR,L,82,198,136,172,0.00161,-0.11931,8.4,8477940
32,Marcus Johansson,MIN,L,75,141,155,172,0.00112,-0.12089,8.4,8475149
33,Barrett Hayton,UTA,C,67,145,141,126,0.01958,-0.12172,8.4,8480849
