rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,276,1745,1406,1509,0.04892,0.00864,10.0,8476958
2,Brent Burns,COL,D,327,1919,1632,1688,0.03442,-0.00329,9.7,8470613
3,Brett Pesce,NJD,D,261,1626,1339,1462,0.03416,-0.006,9.6,8477488
4,Jonas Brodin,MIN,D,234,1327,1297,1404,0.0272,-0.01351,9.4,8476463
5,Drew Doughty,LAK,D,264,1492,1457,1647,0.02219,-0.01714,9.3,8474563
6,Evan Bouchard,EDM,D,326,2082,1420,1584,0.02389,-0.01646,9.3,8480803
7,J.J. Moser,TBL,D,295,1323,1556,1601,0.023,-0.01576,9.3,8482655
8,Mattias Ekholm,EDM,D,303,1871,1368,1528,0.02171,-0.0188,9.2,8475218
9,Brayden McNabb,VGK,D,310,1620,1594,1675,0.01847,-0.02025,9.2,8475188
10,Jared Spurgeon,MIN,D,240,1169,1282,1205,0.02344,-0.02033,9.2,8474716
11,Shea Theodore,VGK,D,240,1546,1290,1321,0.01911,-0.02434,9.1,8477447
12,Sean Walker,CAR,D,314,1617,1335,1504,0.01882,-0.02166,9.1,8480336
13,Dmitry Orlov,SJS,D,305,1573,1430,1629,0.01689,-0.02249,9.1,8475200
14,Jalen Chatfield,CAR,D,301,1586,1224,1616,0.01496,-0.02357,9.1,8478970
15,Travis Sanheim,PHI,D,325,1728,1903,2157,0.01114,-0.02198,9.1,8477948
16,Darren Raddysh,TBL,D,245,1342,989,1091,0.02512,-0.02261,9.1,8478178
17,Ryan McDonagh,TBL,D,275,1294,1546,1541,0.01297,-0.02587,9.0,8474151
18,Roman Josi,NSH,D,270,2068,1367,1506,0.01316,-0.02658,9.0,8474600
19,Erik Cernak,TBL,D,276,1099,1512,1580,0.01319,-0.02528,9.0,8478416
20,Josh Manson,COL,D,230,911,1175,1214,0.01735,-0.02692,9.0,8476312
21,Niko Mikkola,FLA,D,307,1523,1450,1726,0.01158,-0.026,9.0,8478859
22,Cam York,PHI,D,276,1443,1471,1754,0.0107,-0.02597,9.0,8481546
23,Mikhail Sergachev,UTA,D,267,1696,1503,1611,0.0076,-0.03126,8.9,8479410
24,Mikey Anderson,LAK,D,307,1424,1685,1814,0.00701,-0.03013,8.9,8479998
25,Mike Reilly,CAR,D,131,711,396,657,0.03208,-0.02967,8.9,8476422
26,Darnell Nurse,EDM,D,320,1709,1710,1894,0.00544,-0.03144,8.9,8477498
27,Artem Zub,OTT,D,259,1145,1532,1503,0.01009,-0.02954,8.9,8482245
28,Josh Morrissey,WPG,D,315,2463,1624,1829,0.00772,-0.02925,8.9,8477504
29,Trevor van Riemsdyk,WSH,D,295,1255,1314,1428,0.0079,-0.03362,8.8,8477845
30,John Carlson,ANA,D,271,1640,1453,1465,0.00641,-0.03424,8.8,8474590
31,Brady Skjei,NSH,D,324,1839,1736,1836,0.00219,-0.03379,8.8,8476869
32,Bowen Byram,BUF,D,279,1560,1582,1556,0.00374,-0.03555,8.7,8481524
33,Quinn Hughes,MIN,D,302,2045,1493,1727,0.00221,-0.03652,8.7,8480800
34,Jake Sanderson,OTT,D,303,1529,1718,1720,-0.00086,-0.03747,8.7,8482105
35,Rasmus Andersson,VGK,D,319,2168,1885,1908,-0.00399,-0.03802,8.7,8478397
36,Brock Faber,MIN,D,242,1471,1540,1649,0.00219,-0.03604,8.7,8482122
37,Erik Karlsson,PIT,D,321,2336,1730,1974,-0.00359,-0.03904,8.6,8474578
38,Adam Fox,NYR,D,283,1951,1360,1588,-0.00173,-0.04039,8.6,8479323
