rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Matt Boldy,MIN,L,76,313,343,331,0.07866,-0.01094,10.0,8481557
2,Joel Eriksson Ek,MIN,C,70,268,316,318,0.0753,-0.01586,9.8,8478493
3,Jordan Staal,CAR,C,75,317,344,406,0.06151,-0.01926,9.7,8473533
4,Kasperi Kapanen,EDM,R,40,124,123,165,0.10512,-0.02456,9.6,8477953
5,Pontus Holmberg,TBL,R,70,196,308,370,0.05954,-0.02423,9.6,8480995
6,Alex Laferriere,LAK,R,81,331,358,384,0.05005,-0.03086,9.4,8482155
7,Yanni Gourde,TBL,C,82,236,361,422,0.05065,-0.02842,9.4,8476826
8,Radek Faksa,DAL,C,58,78,186,170,0.09441,-0.0283,9.4,8476889
9,Zack Ostapchuk,SJS,C,58,101,183,207,0.08148,-0.03307,9.3,8482859
10,Jordan Martinook,CAR,L,77,333,320,407,0.04519,-0.03521,9.2,8476921
11,Michael McCarron,MIN,R,79,156,386,298,0.05628,-0.03703,9.2,8477446
12,Mark Jankowski,CAR,C,68,272,185,247,0.06532,-0.03666,9.2,8476873
13,Ryan Reaves,SJS,R,50,75,110,160,0.09497,-0.03761,9.1,8471817
14,Beck Malenstyn,BUF,L,81,91,269,305,0.05096,-0.04303,9.0,8479359
15,Jack Hughes,NJD,C,61,330,128,222,0.071,-0.04065,9.0,8481559
16,Charlie Coyle,CBJ,C,82,280,457,347,0.04553,-0.04123,9.0,8475745
17,Zemgus Girgensons,TBL,L,74,198,323,395,0.03797,-0.04325,9.0,8476878
18,Eetu Luostarinen,FLA,C,73,261,297,372,0.03418,-0.04523,8.9,8480185
19,Josh Norris,BUF,C,44,175,196,178,0.07431,-0.04376,8.9,8480064
20,Tim Stützle,OTT,L,80,403,175,269,0.05251,-0.0455,8.9,8482116
21,Kirill Kaprizov,MIN,L,78,492,342,432,0.0342,-0.04445,8.9,8478864
22,Kiefer Sherwood,SJS,L,71,240,274,314,0.05093,-0.045,8.9,8480748
23,Tye Kartye,NYR,L,64,108,203,216,0.06932,-0.04462,8.9,8481789
