rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Jaccob Slavin,CAR,D,276,835,650,732,0.20752,0.13593,10.0,8476958
2,Drew Doughty,LAK,D,264,769,699,791,0.10548,0.03592,9.0,8474563
3,Brent Burns,COL,D,327,921,772,824,0.09707,0.02895,8.9,8470613
4,Sean Durzi,UTA,D,238,658,543,604,0.04924,-0.0304,8.3,8480434
5,Jackson LaCombe,ANA,D,229,646,682,617,0.04467,-0.03403,8.3,8481605
6,Brett Pesce,NJD,D,261,794,640,712,0.0318,-0.04149,8.2,8477488
7,Jalen Chatfield,CAR,D,301,744,590,741,0.0294,-0.04249,8.2,8478970
8,Mikey Anderson,LAK,D,307,732,800,854,0.01371,-0.05323,8.1,8479998
9,Sean Walker,CAR,D,314,828,663,724,0.01227,-0.06027,8.0,8480336
10,J.J. Moser,TBL,D,295,697,811,816,0.01339,-0.05485,8.0,8482655
11,Simon Nemec,NJD,D,155,378,311,326,0.03599,-0.07218,7.9,8483495
12,Mark Giordano,TOR,D,124,223,229,272,0.03523,-0.08283,7.8,8470966
13,Evan Bouchard,EDM,D,326,1021,678,791,-0.00655,-0.07598,7.8,8480803
14,Jared Spurgeon,MIN,D,240,644,691,626,0.00405,-0.07398,7.8,8474716
15,Joel Nystrom,CAR,D,38,116,63,102,0.11446,-0.07849,7.8,8482911
16,Alexander Edler,LAK,D,64,127,108,111,0.09721,-0.08765,7.7,8471303
17,Johnathan Kovacevic,NJD,D,254,436,604,604,-0.01648,-0.09568,7.6,8480192
18,Josh Manson,COL,D,230,473,616,625,-0.01634,-0.0943,7.6,8476312
19,Sam Rinzel,CHI,D,63,178,131,156,0.0617,-0.09441,7.6,8483506
20,Alexander Nikishin,CAR,D,81,231,141,212,0.03378,-0.10009,7.6,8482100
21,Adam Fox,NYR,D,283,983,635,761,-0.0325,-0.10312,7.5,8479323
22,Mark Friedman,VAN,D,51,106,74,99,0.08249,-0.11273,7.4,8478017
23,Luke Hughes,NJD,D,223,688,513,607,-0.0352,-0.11417,7.4,8482684
24,Matt Roy,WSH,D,311,732,738,760,-0.05285,-0.12336,7.3,8478911
25,Brady Skjei,NSH,D,324,914,833,872,-0.05692,-0.12274,7.3,8476869
26,Erik Karlsson,PIT,D,321,1097,831,980,-0.07148,-0.13349,7.2,8474578
27,Erik Cernak,TBL,D,276,585,701,772,-0.0643,-0.13399,7.2,8478416
28,Ryan Lindgren,SEA,D,286,806,700,676,-0.06203,-0.13652,7.2,8479324
29,Vladislav Gavrikov,NYR,D,313,795,867,821,-0.07132,-0.13896,7.2,8478882
30,Kaiden Guhle,MTL,D,208,410,575,601,-0.05436,-0.13339,7.2,8482087
31,Bowen Byram,BUF,D,279,816,815,813,-0.06509,-0.13318,7.2,8481524
32,Artem Zub,OTT,D,259,549,698,744,-0.06775,-0.13884,7.2,8482245
33,MacKenzie Weegar,UTA,D,322,1087,895,1025,-0.07583,-0.13642,7.2,8477346
34,Juuso Välimäki,UTA,D,189,424,449,489,-0.05065,-0.13831,7.2,8479976
35,Ian Moore,ANA,D,69,134,139,110,0.05025,-0.1348,7.2,8482178
36,Mattias Ekholm,EDM,D,303,900,614,731,-0.07257,-0.14423,7.1,8475218
37,John Carlson,ANA,D,271,863,724,741,-0.0745,-0.14556,7.1,8474590
38,Samuel Girard,PIT,D,268,730,741,827,-0.07722,-0.14459,7.1,8479398
39,Alec Regula,EDM,D,33,59,43,66,0.09627,-0.14217,7.1,8480831
40,Quinn Hughes,MIN,D,302,1001,744,887,-0.0771,-0.14217,7.1,8480800
41,Damon Severson,CBJ,D,289,794,753,786,-0.08167,-0.15073,7.1,8476923
42,Rasmus Dahlin,BUF,D,309,1241,926,1103,-0.0931,-0.1514,7.1,8480839
43,Brandt Clarke,LAK,D,184,505,340,409,-0.05568,-0.15128,7.1,8482730
44,Jordan Spence,OTT,D,229,553,329,491,-0.06264,-0.14989,7.1,8481606
45,Brayden McNabb,VGK,D,310,788,730,837,-0.09412,-0.16093,7.0,8475188
46,Dmitry Orlov,SJS,D,305,772,687,790,-0.0894,-0.15823,7.0,8475200
47,Noah Hanifin,VGK,D,313,949,824,950,-0.09367,-0.15641,7.0,8478396
48,Justin Faulk,DET,D,298,847,813,747,-0.08499,-0.15574,7.0,8475753
49,Justin Barron,NSH,D,200,510,382,508,-0.07413,-0.1599,7.0,8482111
50,Alex Pietrangelo,VGK,D,209,613,579,578,-0.0862,-0.16653,6.9,8474565
51,Trevor van Riemsdyk,WSH,D,295,648,656,723,-0.09171,-0.16353,6.9,8477845
52,Brian Dumoulin,LAK,D,323,774,761,814,-0.10134,-0.16897,6.9,8475208
53,Calen Addison,SJS,D,134,286,268,229,-0.03631,-0.16406,6.9,8480884
54,Robert Hagg,VGK,D,45,91,77,91,0.0334,-0.16901,6.9,8477462
55,Ian Cole,UTA,D,319,651,696,700,-0.09069,-0.16369,6.9,8474013
56,Joel Hanley,CGY,D,189,426,351,410,-0.06833,-0.16373,6.9,8477810
57,Philip Broberg,STL,D,206,505,550,479,-0.0781,-0.16632,6.9,8481598
58,Lane Hutson,MTL,D,166,517,298,433,-0.07467,-0.16746,6.9,8483457
59,Devon Toews,COL,D,305,1215,832,1034,-0.11317,-0.17314,6.8,8478038
60,John Marino,UTA,D,253,601,600,731,-0.10082,-0.1721,6.8,8478507
61,Logan Mailloux,STL,D,74,177,131,149,-0.01859,-0.17636,6.8,8482733
62,Ryan McDonagh,TBL,D,275,688,757,756,-0.1148,-0.18465,6.7,8474151
63,Roman Josi,NSH,D,270,1023,659,736,-0.11513,-0.18599,6.7,8474600
64,Mikhail Sergachev,UTA,D,267,858,705,805,-0.11332,-0.18114,6.7,8479410
65,Shea Theodore,VGK,D,240,739,565,656,-0.10706,-0.18223,6.7,8477447
66,Darnell Nurse,EDM,D,320,817,813,910,-0.12617,-0.18986,6.7,8477498
67,Conor Timmins,BUF,D,159,322,303,346,-0.08129,-0.18473,6.7,8479982
68,Jonas Siegenthaler,NJD,D,274,687,678,767,-0.11722,-0.18656,6.7,8478399
69,Josh Morrissey,WPG,D,315,1254,808,943,-0.12596,-0.18857,6.7,8477504
70,Cale Fleury,SEA,D,49,88,83,97,0.01286,-0.18279,6.7,8479985
71,Samuel Bolduc,NYI,D,52,110,77,108,-0.00387,-0.18809,6.7,8481541
72,Darren Raddysh,TBL,D,245,686,514,528,-0.10261,-0.18629,6.7,8478178
73,Simon Edvinsson,DET,D,175,427,500,462,-0.09803,-0.18752,6.7,8482762
74,Emil Andrae,PHI,D,107,238,170,204,-0.05569,-0.18925,6.7,8482126
75,Victor Hedman,TBL,D,266,844,578,638,-0.12132,-0.19718,6.6,8475167
76,Vince Dunn,SEA,D,282,987,720,883,-0.13536,-0.19997,6.6,8478407
77,Dougie Hamilton,NJD,D,243,760,491,673,-0.12263,-0.19656,6.6,8476462
78,Jake Sanderson,OTT,D,303,710,774,849,-0.12867,-0.19449,6.6,8482105
79,Joshua Mahura,SEA,D,199,383,308,437,-0.10176,-0.19368,6.6,8479372
80,Colin Miller,WPG,D,202,472,335,410,-0.10468,-0.19948,6.6,8476525
81,Brenden Dillon,NJD,D,323,726,713,779,-0.12219,-0.19094,6.6,8475455
82,Emil Lilleberg,TBL,D,163,324,324,361,-0.09753,-0.1986,6.6,8482929
83,Yan Kuznetsov,CGY,D,58,165,143,190,-0.05619,-0.19537,6.6,8482165
84,Hampus Lindholm,BOS,D,237,570,610,577,-0.12726,-0.20702,6.5,8476854
85,Rasmus Sandin,WSH,D,294,783,704,711,-0.13026,-0.20206,6.5,8480873
86,Cale Makar,COL,D,291,1197,716,919,-0.14439,-0.20762,6.5,8480069
87,Adam Larsson,SEA,D,326,1071,851,999,-0.14439,-0.20506,6.5,8476457
88,Owen Power,BUF,D,315,1002,886,823,-0.13384,-0.20072,6.5,8482671
89,Jonas Brodin,MIN,D,234,728,663,735,-0.1385,-0.20908,6.5,8476463
90,Moritz Seider,DET,D,328,737,1042,940,-0.14667,-0.20906,6.5,8481542
91,Rasmus Ristolainen,PHI,D,212,461,552,483,-0.11573,-0.20296,6.5,8477499
92,Michael Kesselring,BUF,D,190,486,392,466,-0.11254,-0.20141,6.5,8480891
93,Maxwell Crozier,TBL,D,53,109,97,87,0.00111,-0.20449,6.5,8481719
94,Lian Bichsel,DAL,D,88,136,175,167,-0.05899,-0.20736,6.5,8483425
95,Dante Fabbro,CBJ,D,277,660,617,670,-0.14,-0.21377,6.4,8479371
96,K'Andre Miller,CAR,D,305,836,745,890,-0.15488,-0.2188,6.4,8480817
97,Erik Johnson,COL,D,166,286,316,342,-0.11296,-0.21628,6.4,8473446
98,Marcus Pettersson,VAN,D,309,756,919,930,-0.1556,-0.21821,6.4,8477969
99,Henri Jokiharju,BOS,D,235,672,663,661,-0.1367,-0.21114,6.4,8480035
100,Jakob Chychrun,WSH,D,284,888,665,731,-0.13944,-0.21024,6.4,8479345
101,Cam York,PHI,D,276,756,707,893,-0.15488,-0.2188,6.4,8481546
102,Tyler Kleven,OTT,D,166,327,234,399,-0.12213,-0.21776,6.4,8482095
103,Declan Carlile,TBL,D,46,93,82,88,-0.01229,-0.21593,6.4,8483398
104,Jack St. Ivany,PIT,D,53,88,117,94,-0.02018,-0.21725,6.4,8481030
105,Hunter Brzustewicz,CGY,D,34,72,46,70,0.01507,-0.21367,6.4,8484150
106,Alexandre Carrier,MTL,D,268,505,694,718,-0.15627,-0.22729,6.3,8478851
107,Jeff Petry,MIN,D,245,550,570,607,-0.14445,-0.22168,6.3,8473507
108,Travis Sanheim,PHI,D,325,922,934,1091,-0.17083,-0.22848,6.3,8477948
109,Kevin Bahl,CGY,D,273,695,734,767,-0.15143,-0.22032,6.3,8480860
110,Connor Mackey,NYR,D,36,65,69,82,-0.01653,-0.22726,6.3,8482067
111,Thomas Harley,DAL,D,233,679,554,598,-0.14892,-0.22694,6.3,8481581
112,Oliver Kylington,ANA,D,52,121,94,118,-0.05219,-0.22478,6.3,8478430
113,Martin Fehérváry,WSH,D,295,599,872,783,-0.16482,-0.23289,6.2,8480796
114,Zach Werenski,CBJ,D,239,973,763,765,-0.16486,-0.23369,6.2,8478460
115,Aaron Ekblad,FLA,D,250,707,640,668,-0.15904,-0.23269,6.2,8477932
116,Neal Pionk,WPG,D,284,691,721,756,-0.16191,-0.23087,6.2,8480145
117,Colton Parayko,STL,D,301,754,1079,931,-0.17039,-0.23272,6.2,8476892
118,Jacob Moverare,LAK,D,90,122,119,169,-0.09232,-0.23781,6.2,8479421
119,Parker Wotherspoon,PIT,D,188,389,459,485,-0.14355,-0.2298,6.2,8478450
120,Mattias Samuelsson,BUF,D,236,647,724,732,-0.17667,-0.24684,6.1,8480807
121,Mathew Dumba,PIT,D,229,512,568,587,-0.16821,-0.24652,6.1,8476856
122,Ryan Suter,STL,D,246,591,606,580,-0.16813,-0.24694,6.1,8470600
123,Rasmus Andersson,VGK,D,319,1098,974,992,-0.1874,-0.24766,6.1,8478397
124,Nate Schmidt,UTA,D,295,656,544,726,-0.17258,-0.24309,6.1,8477220
125,Niko Mikkola,FLA,D,307,802,716,884,-0.18511,-0.24877,6.1,8478859
126,Matt Irwin,WSH,D,61,65,98,77,-0.02544,-0.24216,6.1,8475625
127,Jayden Struble,MTL,D,171,300,229,342,-0.14262,-0.24531,6.1,8481593
128,Scott Morrow,NYR,D,45,94,76,88,-0.03834,-0.2411,6.1,8482666
129,Mike Reilly,CAR,D,131,372,184,304,-0.14319,-0.25187,6.0,8476422
130,Kris Letang,PIT,D,294,877,719,914,-0.18979,-0.25242,6.0,8471724
131,Shayne Gostisbehere,CAR,D,281,745,533,653,-0.18329,-0.25731,6.0,8476906
132,Ryan Graves,PIT,D,231,414,532,519,-0.17543,-0.25843,6.0,8477435
133,Nick Seeler,PHI,D,305,699,593,617,-0.17821,-0.25447,6.0,8476372
134,Brendan Smith,CBJ,D,170,298,289,278,-0.13671,-0.24971,6.0,8474090
135,Radko Gudas,ANA,D,275,582,706,659,-0.18402,-0.25765,6.0,8475462
136,Dylan DeMelo,WPG,D,320,1068,799,925,-0.18661,-0.24899,6.0,8476331
137,Dennis Gilbert,OTT,D,94,151,105,144,-0.09496,-0.25297,6.0,8478502
138,Brock Faber,MIN,D,242,781,826,866,-0.19141,-0.25575,6.0,8482122
139,Ryker Evans,SEA,D,175,398,333,408,-0.15988,-0.25359,6.0,8482858
140,Albert Johansson,DET,D,143,328,312,288,-0.1432,-0.25486,6.0,8481607
141,Alec Martinez,CHI,D,176,389,464,444,-0.17678,-0.26639,5.9,8474166
142,Zach Whitecloud,CGY,D,272,581,618,657,-0.18881,-0.26252,5.9,8480727
143,Erik Gustafsson,DET,D,208,540,326,422,-0.16739,-0.25942,5.9,8476979
144,Jordan Harris,BOS,D,162,269,305,349,-0.16704,-0.26809,5.9,8480887
145,Jamie Oleksiak,SEA,D,317,603,910,794,-0.20142,-0.26829,5.9,8476467
146,Cody Ceci,LAK,D,326,707,827,865,-0.19986,-0.26405,5.9,8476879
147,Troy Stecher,TOR,D,265,467,558,540,-0.17847,-0.25985,5.9,8479442
148,Ivan Provorov,CBJ,D,328,928,944,951,-0.20036,-0.26159,5.9,8478500
149,Brandon Montour,SEA,D,290,872,778,813,-0.19698,-0.26318,5.9,8477986
150,Gustav Forsling,FLA,D,321,948,841,915,-0.19728,-0.25978,5.9,8478055
151,Miro Heiskanen,DAL,D,277,979,668,746,-0.18971,-0.25893,5.9,8480036
152,Nils Lundkvist,DAL,D,210,457,413,484,-0.17374,-0.25976,5.9,8480878
153,Michael Stone,CGY,D,48,109,69,80,-0.04878,-0.2599,5.9,8474628
