rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Otto Stenberg,STL,C,32,99,126,110,0.48154,0.30428,10.0,8484230
2,Derek Stepan,CAR,C,73,273,172,187,0.43349,0.29682,9.9,8474613
3,Jordan Martinook,CAR,L,320,1388,1428,1670,0.29121,0.24474,9.5,8476921
4,Jack Drury,COL,C,265,877,812,909,0.30041,0.23735,9.4,8480835
5,Jesper Fast,CAR,R,153,649,600,747,0.27763,0.20755,9.2,8475855
6,Jordan Staal,CAR,C,311,1335,1448,1637,0.2401,0.19261,9.1,8473533
7,Josh Archibald,PIT,R,62,73,185,152,0.33372,0.17736,8.9,8476326
8,Samuel Honzek,CGY,L,23,76,112,83,0.38031,0.16864,8.9,8484180
9,Paul Stastny,CAR,C,73,306,198,232,0.29191,0.16517,8.8,8471669
10,Logan Stankoven,CAR,C,183,781,603,703,0.21569,0.14268,8.7,8482702
11,Blake Lizotte,PIT,C,257,586,941,807,0.18256,0.11417,8.4,8481481
12,Patrice Bergeron,BOS,C,78,533,360,234,0.22534,0.09832,8.3,8470638
13,Seth Jarvis,CAR,C,307,1512,1079,1204,0.15473,0.09858,8.3,8482093
14,Andrei Svechnikov,CAR,R,274,1425,1011,1098,0.1562,0.0974,8.3,8480830
15,Alex Laferriere,LAK,R,239,954,921,993,0.15869,0.09683,8.3,8482155
16,Brandon Hagel,TBL,L,316,1333,1267,1426,0.1372,0.08559,8.2,8479542
17,Viktor Arvidsson,BOS,L,231,857,893,925,0.14716,0.08301,8.2,8478042
18,Barrett Hayton,UTA,C,264,1065,1124,1021,0.14762,0.08659,8.2,8480849
19,Michael Carcone,UTA,L,214,656,686,743,0.15934,0.08779,8.2,8479619
20,Jackson Blake,CAR,R,162,716,405,609,0.16195,0.0829,8.2,8482809
21,Kevin Fiala,LAK,L,288,1249,1102,1196,0.13441,0.07793,8.1,8477942
