rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Simon Nemec,NJD,D,68,180,157,152,0.31276,0.15579,10.0,8483495
2,Matthew Kessel,STL,D,29,46,32,56,0.38769,0.12813,9.7,8482516
3,Hunter Brzustewicz,CGY,D,33,70,45,67,0.31331,0.07462,9.1,8484150
4,Jaccob Slavin,CAR,D,39,94,90,111,0.23974,0.05412,8.8,8476958
5,Cam York,PHI,D,74,180,168,257,0.15133,0.02912,8.6,8481546
6,Trevor van Riemsdyk,WSH,D,68,91,138,183,0.16504,0.02024,8.4,8477845
7,Ilya Solovyov,PIT,D,30,46,48,62,0.26829,0.01945,8.4,8482470
8,Conor Timmins,BUF,D,39,83,108,109,0.18362,-0.0041,8.2,8479982
9,Parker Wotherspoon,PIT,D,80,217,203,238,0.11537,-0.01164,8.1,8478450
10,Jared Spurgeon,MIN,D,79,208,219,204,0.1238,-0.01342,8.1,8474716
11,Ilya Lyubushkin,DAL,D,53,54,111,124,0.16831,-0.00764,8.1,8480950
12,Tyler Myers,DAL,D,73,129,185,181,0.13645,-0.00916,8.1,8474574
13,Thomas Chabot,OTT,D,57,131,106,134,0.15075,-0.01854,8.0,8478469
14,Tyler Tucker,STL,D,68,103,108,131,0.15323,-0.01796,8.0,8481006
15,Jonas Brodin,MIN,D,62,173,169,182,0.1241,-0.02097,8.0,8476463
16,Jeff Petry,MIN,D,67,137,109,157,0.11997,-0.03608,7.8,8473507
17,Jonas Siegenthaler,NJD,D,82,183,210,240,0.08586,-0.04036,7.8,8478399
18,Johnathan Kovacevic,NJD,D,34,60,86,88,0.16945,-0.03917,7.8,8480192
19,Arber Xhekaj,MTL,D,65,93,66,108,0.14338,-0.04503,7.7,8482964
20,John Carlson,ANA,D,70,193,169,166,0.10723,-0.04466,7.7,8474590
21,Jakob Chychrun,WSH,D,80,256,166,229,0.0729,-0.05631,7.6,8479345
22,Brayden McNabb,VGK,D,64,174,138,173,0.09239,-0.05625,7.6,8475188
23,Noah Hanifin,VGK,D,72,239,166,196,0.0879,-0.05188,7.6,8478396
