rank,player_name,team,pos,GP,oz_faceoff_shifts,dz_faceoff_shifts,nz_faceoff_shifts,raw_metric,wilson_adjusted,score,player_id
1,Matthew Kessel,STL,D,29,86,69,104,0.33202,0.14185,10.0,8482516
2,Ryan McDonagh,TBL,D,48,191,232,232,0.22956,0.10158,9.5,8474151
3,Darren Raddysh,TBL,D,73,395,345,349,0.17343,0.06885,9.1,8478178
4,Jonas Siegenthaler,NJD,D,82,365,435,485,0.13851,0.04979,8.8,8478399
5,Jonas Brodin,MIN,D,62,314,341,344,0.1522,0.04679,8.8,8476463
6,Dmitri Simashev,UTA,D,27,112,107,131,0.20511,0.03399,8.6,8484386
7,Niko Mikkola,FLA,D,68,336,336,399,0.12423,0.02624,8.5,8478859
8,Ilya Solovyov,PIT,D,30,86,96,126,0.20358,0.02905,8.5,8482470
9,Sam Malinski,COL,D,81,378,361,382,0.11461,0.01436,8.4,8484258
10,Erik Cernak,TBL,D,61,220,293,319,0.1292,0.01949,8.4,8478416
11,Denton Mateychuk,CBJ,D,75,348,333,375,0.12145,0.02027,8.4,8483485
12,Artem Zub,OTT,D,81,319,500,446,0.10096,0.00818,8.3,8482245
13,Jaccob Slavin,CAR,D,39,199,187,219,0.14323,0.01082,8.3,8476958
14,Simon Nemec,NJD,D,68,335,298,292,0.12744,0.01279,8.3,8483495
15,Tyler Myers,DAL,D,73,257,370,350,0.11382,0.00914,8.3,8474574
16,Arber Xhekaj,MTL,D,65,168,129,207,0.13922,0.00299,8.2,8482964
17,Trevor van Riemsdyk,WSH,D,68,206,282,337,0.10631,-0.00044,8.2,8477845
18,Conor Timmins,BUF,D,39,160,198,194,0.14275,0.00209,8.2,8479982
19,Jake Sanderson,OTT,D,67,397,402,379,0.10159,0.001,8.2,8482105
20,Dougie Hamilton,NJD,D,77,421,371,460,0.09513,0.00387,8.2,8476462
21,Brock Faber,MIN,D,80,510,554,562,0.08653,0.00389,8.2,8482122
22,Cale Fleury,SEA,D,22,58,107,106,0.19024,-0.00012,8.2,8479985
23,Bowen Byram,BUF,D,82,400,466,455,0.0821,-0.00972,8.1,8481524
24,K'Andre Miller,CAR,D,72,476,358,402,0.09178,-0.00583,8.1,8480817
25,Shea Theodore,VGK,D,71,429,394,377,0.08652,-0.01433,8.0,8477447
26,Sean Walker,CAR,D,81,521,411,483,0.07709,-0.01201,8.0,8480336
27,Jared Spurgeon,MIN,D,79,360,404,385,0.08221,-0.01763,7.9,8474716
28,Cam York,PHI,D,74,353,388,472,0.07005,-0.02013,7.9,8481546
29,Sam Rinzel,CHI,D,54,261,192,248,0.09443,-0.02996,7.8,8483506
30,Parker Wotherspoon,PIT,D,80,404,407,450,0.06438,-0.0279,7.8,8478450
31,Brayden McNabb,VGK,D,64,332,325,334,0.07854,-0.02859,7.8,8475188
32,Mattias Samuelsson,BUF,D,78,411,470,501,0.05583,-0.03166,7.8,8480807
33,Jacob Trouba,ANA,D,80,463,488,502,0.0574,-0.03,7.8,8476885
34,J.J. Moser,TBL,D,79,446,388,413,0.06492,-0.03139,7.8,8482655
35,Alexandre Carrier,MTL,D,73,239,340,373,0.06096,-0.04039,7.7,8478851
36,Kaedan Korczak,VGK,D,78,311,271,345,0.07143,-0.03397,7.7,8481527
37,Marcus Pettersson,VAN,D,81,306,512,436,0.05844,-0.03534,7.7,8477969
38,Joshua Mahura,SEA,D,23,68,99,95,0.16225,-0.03865,7.7,8479372
39,Drew Doughty,LAK,D,71,390,381,443,0.04451,-0.04844,7.6,8474563
40,Kaiden Guhle,MTL,D,39,129,205,189,0.10093,-0.04152,7.6,8482087
41,Brett Pesce,NJD,D,37,222,178,200,0.09223,-0.04613,7.6,8477488
42,Spencer Stastney,EDM,D,66,262,263,292,0.07162,-0.04297,7.6,8481056
43,Jackson LaCombe,ANA,D,81,461,505,511,0.04256,-0.04406,7.6,8481605
44,Noah Hanifin,VGK,D,72,489,326,408,0.04611,-0.05076,7.5,8478396
45,Nick DeSimone,UTA,D,39,147,135,162,0.10424,-0.0495,7.5,8480084
46,Johnathan Kovacevic,NJD,D,34,123,181,164,0.10219,-0.05062,7.5,8480192
47,Jeff Petry,MIN,D,67,246,201,324,0.04581,-0.0627,7.4,8473507
48,Matthew Robertson,NYR,D,72,262,294,298,0.05459,-0.05873,7.4,8481525
49,Erik Karlsson,PIT,D,75,473,387,410,0.02513,-0.07138,7.3,8474578
50,Josh Manson,COL,D,79,340,404,414,0.02776,-0.06832,7.3,8476312
51,Brandt Clarke,LAK,D,81,526,328,384,0.02994,-0.06981,7.3,8482730
52,Mikey Anderson,LAK,D,79,323,443,459,0.02665,-0.06463,7.3,8479998
53,John Carlson,ANA,D,70,383,332,333,0.03817,-0.06893,7.3,8474590
54,MacKenzie Weegar,UTA,D,78,497,440,514,0.01453,-0.07158,7.3,8477346
55,Justin Barron,NSH,D,51,178,199,218,0.06185,-0.07051,7.3,8482111
56,Quinn Hughes,MIN,D,74,564,474,502,0.01849,-0.06875,7.3,8480800
57,Uvis Balinskis,FLA,D,54,240,182,276,0.04724,-0.07036,7.3,8484304
58,Jordan Spence,OTT,D,73,471,226,393,0.02808,-0.07049,7.3,8481606
59,Hampus Lindholm,BOS,D,67,305,328,366,0.0277,-0.07438,7.2,8476854
60,Zach Whitecloud,CGY,D,78,351,365,426,0.02073,-0.07386,7.2,8480727
61,Rasmus Dahlin,BUF,D,77,447,431,511,0.00825,-0.07816,7.2,8480839
62,Brenden Dillon,NJD,D,82,357,348,327,0.02985,-0.0779,7.2,8475455
63,Jalen Chatfield,CAR,D,72,435,338,427,0.01651,-0.07803,7.2,8478970
64,Pavel Mintyukov,ANA,D,72,315,313,348,0.03072,-0.074,7.2,8483490
65,Owen Power,BUF,D,81,416,426,414,0.02362,-0.07241,7.2,8482671
66,Devon Toews,COL,D,67,495,323,403,0.01577,-0.08151,7.1,8478038
67,Andrew Peeke,BOS,D,77,306,417,392,0.01604,-0.08255,7.1,8479369
68,Thomas Chabot,OTT,D,57,278,225,278,0.03096,-0.08615,7.1,8478469
69,Yan Kuznetsov,CGY,D,57,316,269,349,0.01731,-0.08705,7.1,8482165
70,Brent Burns,COL,D,81,397,429,424,0.00356,-0.09121,7.0,8470613
71,Jakob Chychrun,WSH,D,80,492,351,412,0.00325,-0.09285,7.0,8479345
72,Brayden Pachal,CGY,D,38,147,117,129,0.0767,-0.09494,7.0,8481167
73,Darnell Nurse,EDM,D,81,439,395,476,-0.00384,-0.0932,7.0,8477498
74,Moritz Seider,DET,D,82,407,543,539,-0.00573,-0.0898,7.0,8481542
75,Travis Sanheim,PHI,D,81,366,498,532,-0.00788,-0.09246,7.0,8477948
76,Adam Pelech,NYI,D,82,435,449,462,0.00293,-0.08781,7.0,8476917
77,Tyler Kleven,OTT,D,70,286,253,413,0.0017,-0.09432,7.0,8482095
78,Nick Blankenburg,COL,D,60,212,218,228,0.03556,-0.09366,7.0,8483565
79,Pierre-Olivier Joseph,VAN,D,31,96,84,110,0.09514,-0.0909,7.0,8480058
80,Ryan Graves,PIT,D,22,67,87,104,0.09769,-0.09361,7.0,8477435
81,Wyatt Kaiser,CHI,D,77,361,343,411,-0.00149,-0.09768,6.9,8482176
82,Cale Makar,COL,D,74,558,337,410,-0.0035,-0.0998,6.9,8480069
83,Mason Lohrei,BOS,D,73,308,275,346,0.00524,-0.09952,6.9,8482511
84,Donovan Sebrango,FLA,D,42,144,132,208,0.03502,-0.09999,6.9,8482131
85,Nick Seeler,PHI,D,80,309,283,338,0.00533,-0.10074,6.9,8476372
86,Mikhail Sergachev,UTA,D,77,491,476,470,-0.00756,-0.09749,6.9,8479410
87,Ian Moore,ANA,D,66,223,264,248,0.02542,-0.09843,6.9,8482178
88,Kyle Capobianco,DAL,D,33,96,81,95,0.09934,-0.10073,6.9,8478476
89,Connor Murphy,EDM,D,79,212,366,356,-0.00346,-0.10674,6.8,8476473
90,Kris Letang,PIT,D,74,433,326,365,-0.00856,-0.11049,6.8,8471724
91,Alec Regula,EDM,D,29,105,89,124,0.06566,-0.1092,6.8,8480831
92,Jeremy Lauzon,VGK,D,68,296,300,358,-0.00656,-0.10951,6.8,8478468
93,Louis Crevier,CHI,D,78,219,469,409,-0.01191,-0.10822,6.8,8481806
94,Alex Vlasic,CHI,D,81,286,506,449,-0.01805,-0.10993,6.8,8481568
95,Ian Cole,UTA,D,81,295,331,337,-0.00263,-0.10874,6.8,8474013
96,Alexander Petrovic,DAL,D,54,144,224,215,0.0254,-0.1075,6.8,8475755
97,Joel Edmundson,LAK,D,81,479,340,384,-0.01873,-0.11797,6.7,8476441
98,Morgan Rielly,TOR,D,78,583,317,399,-0.01568,-0.11317,6.7,8476853
99,Matthew Schaefer,NYI,D,82,418,380,440,-0.02567,-0.11841,6.7,8485366
100,Damon Severson,CBJ,D,71,413,437,431,-0.02105,-0.11477,6.7,8476923
