metric,version,pearson_r_current,spearman_current,pearson_r_pooled,spearman_pooled,top_F_current,top_D_current
OZI,V1,0.2935,0.3562,0.2018,0.0869,Connor McDavid (EDM),Mattias Ekholm (EDM)
OZI,V2,0.4236,0.2956,0.4991,0.4075,David Kampf (WSH),Jaccob Slavin (CAR)
OZI,V3,0.3219,0.3903,0.3518,0.2526,David Kampf (WSH),Mattias Ekholm (EDM)
OZI,V1L,0.3119,0.2846,0.428,0.3586,Seth Jarvis (CAR),Evan Bouchard (EDM)
OZI,V2L,0.5638,0.5111,0.3781,0.2779,Jansen Harkins (ANA),Jaccob Slavin (CAR)
OZI,V3L,0.4519,0.3558,0.2037,0.0977,Warren Foegele (OTT),Jayden Struble (MTL)
DZI,V1,0.6213,0.6411,0.3879,0.3089,Phillip Danault (MTL),Martin Fehérváry (WSH)
DZI,V2,0.6422,0.5713,0.4837,0.4178,Jordan Staal (CAR),Jaccob Slavin (CAR)
DZI,V3,0.5302,0.5689,0.5331,0.4137,Kevin Hayes (PIT),Ryan Graves (PIT)
DZI,V1L,0.5006,0.559,0.2458,0.2059,Zachary Bolduc (MTL),Martin Fehérváry (WSH)
DZI,V2L,0.5316,0.459,0.3641,0.3049,Cole Smith (VGK),K'Andre Miller (CAR)
DZI,V3L,0.4308,0.3782,0.2639,0.1371,Dylan Strome (WSH),Ryan Graves (PIT)
SDZI,V1,0.6179,0.5941,0.4246,0.3584,Pontus Holmberg (TBL),Martin Fehérváry (WSH)
SDZI,V2,0.5904,0.4926,0.493,0.404,Mark Stone (VGK),Devon Toews (COL)
SDZI,V3,0.5123,0.577,0.5465,0.4158,Kevin Hayes (PIT),Ryan Graves (PIT)
SDZI,V1L,0.5145,0.5392,0.2666,0.2541,Zachary Bolduc (MTL),Ryan Graves (PIT)
SDZI,V2L,0.5063,0.4404,0.3649,0.2863,Cole Smith (VGK),K'Andre Miller (CAR)
SDZI,V3L,0.4255,0.4127,0.2755,0.1698,Cole Smith (VGK),Ryan Graves (PIT)
NZI,V1,0.5697,0.5867,0.4524,0.3956,Kiefer Sherwood (SJS),Quinn Hughes (MIN)
NZI,V2,0.4955,0.463,0.4847,0.4497,Nikita Kucherov (TBL),Johnathan Kovacevic (NJD)
NZI,V3,0.4883,0.5436,0.3177,0.2746,Nikita Kucherov (TBL),Matthew Kessel (STL)
NZI,V1L,0.4369,0.4816,0.3146,0.2913,Paul Cotter (NJD),Simon Nemec (NJD)
NZI,V2L,0.3446,0.3536,0.3802,0.3289,Taylor Hall (CAR),Johnathan Kovacevic (NJD)
NZI,V3L,0.2528,0.3486,0.2729,0.224,Fabian Zetterlund (OTT),Simon Nemec (NJD)
TNZI,V1,0.6477,0.649,0.4915,0.4185,Matt Boldy (MIN),Jonas Brodin (MIN)
TNZI,V2,0.4884,0.4351,0.4834,0.4453,Otto Stenberg (STL),Johnathan Kovacevic (NJD)
TNZI,V3,0.4738,0.5073,0.3248,0.3269,Nikita Kucherov (TBL),Matthew Kessel (STL)
TNZI,V1L,0.427,0.4736,0.3942,0.3382,Matt Boldy (MIN),Simon Nemec (NJD)
TNZI,V2L,0.3351,0.3132,0.3827,0.2955,Taylor Hall (CAR),Johnathan Kovacevic (NJD)
TNZI,V3L,0.2419,0.3177,0.2749,0.1881,Matt Boldy (MIN),Simon Nemec (NJD)
